table,year,class,measure,type,estimate
101,2015,W11,4,4,
101,2015,W12,4,4,
101,2015,W13,4,4,
101,2015,W14,4,4,
101,2015,W15,4,4,
101,2015,W16,4,4,
101,2015,W17,4,4,
101,2015,W18,4,4,
101,2015,W19,4,4,
101,2015,W20,4,4,
101,2015,W21,4,4,
101,2015,W22,4,4,
101,2015,W1T,4,4,
101,2015,W2T,4,4,
101,2015,W16T,4,4,
101,2015,W17T,4,4,
101,2018,W1,1,1,448
101,2018,W2,1,1,373
101,2018,W3,1,1,66
101,2018,W4,1,1,13
101,2018,W5,1,1,305
101,2018,W6,1,1,9
101,2018,W7,1,1,12
101,2018,W8,1,1,49
101,2018,W9_1,1,1,13
101,2018,W9_21,1,1,748
101,2018,W9_22,1,1,734
101,2018,W9_23,1,1,146
101,2018,W9,1,1,272
101,2018,W10,1,1,60
101,2018,W11,1,1,39
101,2018,W12,1,1,30
101,2018,W13,1,1,14
101,2018,W14,1,1,59
101,2018,W15,1,1,496
101,2018,W16,1,1,206
101,2018,W17,1,1,259
101,2018,W18,1,1,2
101,2018,W19,1,1,18
101,2018,W20,1,1,4
101,2018,W21,1,1,42
101,2018,W22,1,1,340
101,2018,W1T,1,1,478
101,2018,W2T,1,1,437
101,2018,W16T,1,1,210
101,2018,W17T,1,1,279
101,2018,W1,1,2,3.4
101,2018,W2,1,2,8.8
101,2018,W3,1,2,3
101,2018,W4,1,2,21.3
101,2018,W5,1,2,8.2
101,2018,W6,1,2,11.3
101,2018,W7,1,2,30.3
101,2018,W8,1,2,25.5
101,2018,W9_1,1,2,28.1
101,2018,W9_21,1,2,16.3
101,2018,W9_22,1,2,34.1
101,2018,W9_23,1,2,40.8
101,2018,W9,1,2,25.3
101,2018,W10,1,2,33.9
101,2018,W11,1,2,23.5
101,2018,W12,1,2,5.9
101,2018,W13,1,2,32.8
101,2018,W14,1,2,8.4
101,2018,W15,1,2,5.6
101,2018,W16,1,2,6
101,2018,W17,1,2,13.2
101,2018,W18,1,2,18.1
101,2018,W19,1,2,14.1
101,2018,W20,1,2,11.2
101,2018,W21,1,2,14.5
101,2018,W22,1,2,8.7
101,2018,W1T,1,2,4
101,2018,W2T,1,2,10.8
101,2018,W16T,1,2,5.6
101,2018,W17T,1,2,7.9
101,2018,W1,2,1,549
101,2018,W2,2,1,507
101,2018,W3,2,1,89
101,2018,W4,2,1,27
101,2018,W5,2,1,452
101,2018,W6,2,1,62
101,2018,W7,2,1,149
101,2018,W8,2,1,407
101,2018,W9_1,2,1,140
101,2018,W9_21,2,1,1297
101,2018,W9_22,2,1,1643
101,2018,W9_23,2,1,750
101,2018,W9,2,1,1141
101,2018,W10,2,1,221
101,2018,W11,2,1,80
101,2018,W12,2,1,65
101,2018,W13,2,1,148
101,2018,W14,2,1,466
101,2018,W15,2,1,911
101,2018,W16,2,1,249
101,2018,W17,2,1,363
101,2018,W18,2,1,3
101,2018,W19,2,1,28
101,2018,W20,2,1,15
101,2018,W21,2,1,158
101,2018,W22,2,1,789
101,2018,W1T,2,1,633
101,2018,W2T,2,1,724
101,2018,W16T,2,1,261
101,2018,W17T,2,1,400
101,2018,W1,2,2,3.7
101,2018,W2,2,2,10.5
101,2018,W3,2,2,2.8
101,2018,W4,2,2,17.9
101,2018,W5,2,2,4.2
101,2018,W6,2,2,16
101,2018,W7,2,2,59.9
101,2018,W8,2,2,31.2
101,2018,W9_1,2,2,33
101,2018,W9_21,2,2,15.9
101,2018,W9_22,2,2,30.3
101,2018,W9_23,2,2,28.2
101,2018,W9,2,2,19.4
101,2018,W10,2,2,23.9
101,2018,W11,2,2,28.4
101,2018,W12,2,2,7.4
101,2018,W13,2,2,27.9
101,2018,W14,2,2,14.4
101,2018,W15,2,2,7.3
101,2018,W16,2,2,6.4
101,2018,W17,2,2,18.4
101,2018,W18,2,2,13.5
101,2018,W19,2,2,9.6
101,2018,W20,2,2,17.3
101,2018,W21,2,2,8.6
101,2018,W22,2,2,8.5
101,2018,W1T,2,2,5.1
101,2018,W2T,2,2,13.8
101,2018,W16T,2,2,7.5
101,2018,W17T,2,2,18.2
101,2018,W1,2,3,30.7
101,2018,W2,2,3,20.7
101,2018,W3,2,3,2
101,2018,W4,2,3,20.6
101,2018,W5,2,3,22.7
101,2018,W6,2,3,-19.3
101,2018,W7,2,3,-8.8
101,2018,W8,2,3,39
101,2018,W9_1,2,3,-2.8
101,2018,W9_21,2,3,64.3
101,2018,W9_22,2,3,-9.6
101,2018,W9_23,2,3,36.1
101,2018,W9,2,3,41.2
101,2018,W10,2,3,67.9
101,2018,W11,2,3,29.6
101,2018,W12,2,3,26.5
101,2018,W13,2,3,70.3
101,2018,W14,2,3,18.3
101,2018,W15,2,3,26.1
101,2018,W16,2,3,26.3
101,2018,W17,2,3,42.5
101,2018,W18,2,3,-26.2
101,2018,W19,2,3,11.6
101,2018,W20,2,3,16
101,2018,W21,2,3,17.3
101,2018,W22,2,3,25
101,2018,W1T,2,3,37
101,2018,W2T,2,3,36.3
101,2018,W16T,2,3,22.8
101,2018,W17T,2,3,42.6
101,2018,W1,2,4,6.9
101,2018,W2,2,4,22.7
101,2018,W3,2,4,4.3
101,2018,W4,2,4,30
101,2018,W5,2,4,7.6
101,2018,W6,2,4,16.4
101,2018,W7,2,4,69.1
101,2018,W8,2,4,73.4
101,2018,W9_1,2,4,68.8
101,2018,W9_21,2,4,30
101,2018,W9_22,2,4,45.6
101,2018,W9_23,2,4,74.2
101,2018,W9,2,4,36.9
101,2018,W10,2,4,50.2
101,2018,W11,2,4,51
101,2018,W12,2,4,13.6
101,2018,W13,2,4,80.8
101,2018,W14,2,4,21.4
101,2018,W15,2,4,11.3
101,2018,W16,2,4,10.9
101,2018,W17,2,4,31.7
101,2018,W18,2,4,24.9
101,2018,W19,2,4,15.2
101,2018,W20,2,4,35.7
101,2018,W21,2,4,12.4
101,2018,W22,2,4,12.9
101,2018,W1T,2,4,9
101,2018,W2T,2,4,28.7
101,2018,W16T,2,4,15.5
101,2018,W17T,2,4,34.1
101,2018,W1,3,1,489787500
101,2018,W2,3,1,122574997
101,2018,W3,3,1,152698995
101,2018,W4,3,1,14089866
101,2018,W5,3,1,779151655
101,2018,W6,3,1,104902033
101,2018,W7,3,1,5221113
101,2018,W8,3,1,46152879
101,2018,W9_1,3,1,29285840
101,2018,W9_21,3,1,234384434
101,2018,W9_22,3,1,119633008
101,2018,W9_23,3,1,119733046
101,2018,W9,3,1,503036329
101,2018,W10,3,1,28386679
101,2018,W11,3,1,8738047
101,2018,W12,3,1,73744668
101,2018,W13,3,1,29256838
101,2018,W14,3,1,799438585
101,2018,W15,3,1,1578590240
101,2018,W16,3,1,137009417
101,2018,W17,3,1,45554671
101,2018,W18,3,1,812484
101,2018,W19,3,1,11337333
101,2018,W20,3,1,16266416
101,2018,W21,3,1,210980321
101,2018,W22,3,1,1367609919
101,2018,W1T,3,1,657091609
101,2018,W2T,3,1,219458145
101,2018,W16T,3,1,148566846
101,2018,W17T,3,1,58618863
101,2018,W1,3,2,5
101,2018,W2,3,2,15.6
101,2018,W3,3,2,2.8
101,2018,W4,3,2,18.5
101,2018,W5,3,2,4.2
101,2018,W6,3,2,16
101,2018,W7,3,2,63.7
101,2018,W8,3,2,34.1
101,2018,W9_1,3,2,34.7
101,2018,W9_21,3,2,23.6
101,2018,W9_22,3,2,34.5
101,2018,W9_23,3,2,30.3
101,2018,W9,3,2,21.2
101,2018,W10,3,2,28
101,2018,W11,3,2,36.4
101,2018,W12,3,2,8.4
101,2018,W13,3,2,26.7
101,2018,W14,3,2,14.4
101,2018,W15,3,2,7.3
101,2018,W16,3,2,8.7
101,2018,W17,3,2,24.3
101,2018,W18,3,2,14.9
101,2018,W19,3,2,10
101,2018,W20,3,2,17.5
101,2018,W21,3,2,8.8
101,2018,W22,3,2,8.5
101,2018,W1T,3,2,5.9
101,2018,W2T,3,2,16.9
101,2018,W16T,3,2,9
101,2018,W17T,3,2,23.9
101,2018,W1,3,3,35.7
101,2018,W2,3,3,23.9
101,2018,W3,3,3,5.6
101,2018,W4,3,3,44.7
101,2018,W5,3,3,26.8
101,2018,W6,3,3,28.5
101,2018,W7,3,3,-56
101,2018,W8,3,3,-12.6
101,2018,W9_1,3,3,-7.7
101,2018,W9_21,3,3,99.9
101,2018,W9_22,3,3,8.3
101,2018,W9_23,3,3,16.6
101,2018,W9,3,3,38.9
101,2018,W10,3,3,446.5
101,2018,W11,3,3,55.7
101,2018,W12,3,3,30.5
101,2018,W13,3,3,98.6
101,2018,W14,3,3,35.4
101,2018,W15,3,3,31
101,2018,W16,3,3,43.3
101,2018,W17,3,3,27.6
101,2018,W18,3,3,28
101,2018,W19,3,3,34.4
101,2018,W20,3,3,66.2
101,2018,W21,3,3,40.5
101,2018,W22,3,3,29.7
101,2018,W1T,3,3,45.5
101,2018,W2T,3,3,50.4
101,2018,W16T,3,3,38.5
101,2018,W17T,3,3,35.6
101,2018,W1,3,4,9.2
101,2018,W2,3,4,28.6
101,2018,W3,3,4,4.4
101,2018,W4,3,4,38.4
101,2018,W5,3,4,7.9
101,2018,W6,3,4,26.6
101,2018,W7,3,4,34.8
101,2018,W8,3,4,47.2
101,2018,W9_1,3,4,68.1
101,2018,W9_21,3,4,59.7
101,2018,W9_22,3,4,64.7
101,2018,W9_23,3,4,65.1
101,2018,W9,3,4,40.2
101,2018,W10,3,4,205.4
101,2018,W11,3,4,73.6
101,2018,W12,3,4,15.8
101,2018,W13,3,4,96.5
101,2018,W14,3,4,24.6
101,2018,W15,3,4,11.7
101,2018,W16,3,4,17.1
101,2018,W17,3,4,39
101,2018,W18,3,4,49.9
101,2018,W19,3,4,20.6
101,2018,W20,3,4,52.7
101,2018,W21,3,4,16.5
101,2018,W22,3,4,13.3
101,2018,W1T,3,4,10.4
101,2018,W2T,3,4,33.2
101,2018,W16T,3,4,20.8
101,2018,W17T,3,4,40.2
101,2018,W1,4,1,893
101,2018,W2,4,1,242
101,2018,W3,4,1,1722
101,2018,W4,4,1,526
101,2018,W5,4,1,1724
101,2018,W6,4,1,1693
101,2018,W7,4,1,35
101,2018,W8,4,1,113
101,2018,W9_1,4,1,209
101,2018,W9_21,4,1,181
101,2018,W9_22,4,1,73
101,2018,W9_23,4,1,160
101,2018,W9,4,1,441
101,2018,W10,4,1,128
101,2018,W11,4,1,110
101,2018,W12,4,1,1126
101,2018,W13,4,1,198
101,2018,W14,4,1,1717
101,2018,W15,4,1,1733
101,2018,W16,4,1,550
101,2018,W17,4,1,126
101,2018,W18,4,1,244
101,2018,W19,4,1,408
101,2018,W20,4,1,1070
101,2018,W21,4,1,1331
101,2018,W22,4,1,1734
101,2018,W1T,4,1,1039
101,2018,W2T,4,1,303
101,2018,W16T,4,1,569
101,2018,W17T,4,1,147
101,2018,W1,4,2,3.4
101,2018,W2,4,2,10.9
101,2018,W3,4,2,0.3
101,2018,W4,4,2,5.5
101,2018,W5,4,2,0.3
101,2018,W6,4,2,0.5
101,2018,W7,4,2,25.3
101,2018,W8,4,2,16.5
101,2018,W9_1,4,2,8.4
101,2018,W9_21,4,2,14.4
101,2018,W9_22,4,2,19.9
101,2018,W9_23,4,2,12.6
101,2018,W9,4,2,6.5
101,2018,W10,4,2,14.2
101,2018,W11,4,2,14.1
101,2018,W12,4,2,2.8
101,2018,W13,4,2,10.1
101,2018,W14,4,2,0.3
101,2018,W15,4,2,0
101,2018,W16,4,2,5.4
101,2018,W17,4,2,14.9
101,2018,W18,4,2,8.7
101,2018,W19,4,2,5.4
101,2018,W20,4,2,2.5
101,2018,W21,4,2,1.8
101,2018,W22,4,2,0
101,2018,W1T,4,2,2.8
101,2018,W2T,4,2,9.3
101,2018,W16T,4,2,5.1
101,2018,W17T,4,2,14.1
101,2018,W1,4,3,3.8
101,2018,W2,4,3,2.7
101,2018,W3,4,3,3.5
101,2018,W4,4,3,19.9
101,2018,W5,4,3,3.4
101,2018,W6,4,3,59.2
101,2018,W7,4,3,-51.8
101,2018,W8,4,3,-37.2
101,2018,W9_1,4,3,-5
101,2018,W9_21,4,3,21.7
101,2018,W9_22,4,3,19.9
101,2018,W9_23,4,3,-14.3
101,2018,W9,4,3,-1.6
101,2018,W10,4,3,225.5
101,2018,W11,4,3,20.2
101,2018,W12,4,3,3.1
101,2018,W13,4,3,16.6
101,2018,W14,4,3,14.5
101,2018,W15,4,3,3.9
101,2018,W16,4,3,13.4
101,2018,W17,4,3,-10.5
101,2018,W18,4,3,73.4
101,2018,W19,4,3,20.4
101,2018,W20,4,3,43.3
101,2018,W21,4,3,19.8
101,2018,W22,4,3,3.7
101,2018,W1T,4,3,6.2
101,2018,W2T,4,3,10.3
101,2018,W16T,4,3,12.8
101,2018,W17T,4,3,-4.9
101,2018,W1,4,4,4.5
101,2018,W2,4,4,14.1
101,2018,W3,4,4,0.5
101,2018,W4,4,4,10
101,2018,W5,4,4,0.3
101,2018,W6,4,4,5.8
101,2018,W7,4,4,15.8
101,2018,W8,4,4,11.9
101,2018,W9_1,4,4,13.4
101,2018,W9_21,4,4,24.1
101,2018,W9_22,4,4,33.6
101,2018,W9_23,4,4,13.5
101,2018,W9,4,4,8.7
101,2018,W10,4,4,86.1
101,2018,W11,4,4,23.5
101,2018,W12,4,4,3.7
101,2018,W13,4,4,17.2
101,2018,W14,4,4,1.3
101,2018,W15,4,4,0.2
101,2018,W16,4,4,8.2
101,2018,W17,4,4,17.2
101,2018,W18,4,4,24.8
101,2018,W19,4,4,9.1
101,2018,W20,4,4,7.5
101,2018,W21,4,4,3.4
101,2018,W22,4,4,0
101,2018,W1T,4,4,3.5
101,2018,W2T,4,4,12.6
101,2018,W16T,4,4,7.7
101,2018,W17T,4,4,17
